Complex refractive index of Mg1.9Fe0.1SiO4 in the range from NIR to UV.
obtained from transmission and reflection of  thin sections (crystallographically non-oriented)


A (cm-1)	n.oliv.vis	k.oliv.vis
5000	1.61937539	0.0000122
5045.80916183	1.61958895	0.000012
5091.61832366	1.61979673	0.000012
5137.4274855	1.61999923	0.00001209
5183.23664733	1.62019588	0.000013
5229.04580916	1.62038751	0.000012
5274.85497099	1.6205739	0.000012
5320.66413283	1.62075503	0.000012
5366.47329466	1.62093141	0.000012
5412.28245649	1.62110407	0.000012
5458.09161832	1.62127135	0.000012
5503.90078016	1.62143535	0.00001192
5549.70994199	1.62159457	0.000012
5595.51910382	1.62174967	0.000012
5641.32826565	1.6219008	0.00001177
5687.13742749	1.62204792	0.000012
5732.94658932	1.62219202	0.000012
5778.75575115	1.62233312	0.000012
5824.56491298	1.62247025	0.000012
5870.37407481	1.62260426	0.000012
5916.18323665	1.62273484	0.000012
5961.99239848	1.62286242	0.000013
6007.80156031	1.622987	0.000013
6053.61072214	1.62310879	0.000014
6099.41988398	1.62322816	0.000015
6145.22904581	1.62334476	0.00001582
6191.03820764	1.62345833	0.000017
6236.84736947	1.62356892	0.000018
6282.65653131	1.62367767	0.00002
6328.46569314	1.62378407	0.000021
6374.27485497	1.62388867	0.000023
6420.0840168	1.62398983	0.000025
6465.89317864	1.62408984	0.000027
6511.70234047	1.62418694	0.000029
6557.5115023	1.624282	0.000032
6603.32066413	1.62437558	0.000035
6649.12982597	1.6244671	0.00003795
6694.9389878	1.62455616	0.000041
6740.74814963	1.62464421	0.000044
6786.55731146	1.62472927	0.00004789
6832.36647329	1.62481348	0.000052
6878.17563513	1.62489639	0.000055
6923.98479696	1.62497665	0.000059
6969.79395879	1.62505622	0.000064
7015.60312062	1.62513355	0.000068
7061.41228246	1.62520959	0.000072
7107.22144429	1.62528366	0.000077
7153.03060612	1.62535671	0.00008102
7198.83976795	1.62542877	0.000086
7244.64892979	1.62549882	0.000091
7290.45809162	1.62556787	0.00009474
7336.26725345	1.62563593	0.000099
7382.07641528	1.62570198	0.000104
7427.88557712	1.62576704	0.000108
7473.69473895	1.62583109	0.000112
7519.50390078	1.62589408	0.000116
7565.31306261	1.6259552	0.00012
